percentile,absC_cut_logits,tau_score_scale,gemma-2-2b-it,llama-3.1-8b-instruct,phi-4-mini-instruct,qwen2.5-7b-instruct,rank_order
10,0.048583984375,0.990283203125,0.0,0.0016778523489932886,0.0,0.0,llama-3.1-8b-instruct > qwen2.5-7b-instruct > gemma-2-2b-it > phi-4-mini-instruct
15,0.06828613281249996,0.9863427734375,0.003355704697986577,0.0050335570469798654,0.0,0.0,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
20,0.125,0.975,0.01174496644295302,0.015100671140939598,0.0,0.0,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
25,0.125,0.975,0.01174496644295302,0.015100671140939598,0.0,0.0,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
30,0.1796875,0.9640625,0.028523489932885907,0.050335570469798654,0.0,0.0016778523489932886,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
35,0.21875,0.95625,0.03523489932885906,0.0738255033557047,0.0,0.006711409395973154,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
40,0.25,0.95,0.040268456375838924,0.08557046979865772,0.0,0.008389261744966443,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
45,0.296875,0.940625,0.05201342281879195,0.10906040268456375,0.0,0.010067114093959731,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
50,0.375,0.925,0.06543624161073826,0.13926174496644295,0.0,0.020134228187919462,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
55,0.390625,0.921875,0.07046979865771812,0.14261744966442952,0.0,0.02181208053691275,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
60,0.5,0.9,0.07885906040268456,0.19798657718120805,0.0,0.030201342281879196,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
65,0.5625,0.8875,0.08221476510067115,0.20973154362416108,0.0,0.0436241610738255,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
70,0.65625,0.86875,0.087248322147651,0.2181208053691275,0.0,0.05201342281879195,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
75,0.7643661499023438,0.8471267700195313,0.09395973154362416,0.22483221476510068,0.0,0.07885906040268456,llama-3.1-8b-instruct > gemma-2-2b-it > qwen2.5-7b-instruct > phi-4-mini-instruct
80,0.9375,0.8125,0.09563758389261745,0.23657718120805368,0.0,0.09731543624161074,llama-3.1-8b-instruct > qwen2.5-7b-instruct > gemma-2-2b-it > phi-4-mini-instruct
85,1.140625,0.771875,0.09731543624161074,0.24328859060402686,0.0,0.11577181208053691,llama-3.1-8b-instruct > qwen2.5-7b-instruct > gemma-2-2b-it > phi-4-mini-instruct
90,1.5,0.7,0.10234899328859061,0.25,0.0,0.13926174496644295,llama-3.1-8b-instruct > qwen2.5-7b-instruct > gemma-2-2b-it > phi-4-mini-instruct
