2026-06-15 15:03:14,395 | INFO | run_gpu_remaining | patching libs OK: transformer_lens=2.18.0 nnsight=0.3.7
2026-06-15 15:03:14,460 | INFO | run_gpu_remaining | loaded pentad=7152 rows, cdva pairs=23840
2026-06-15 15:03:14,467 | INFO | run_gpu_remaining | === model llama-3.1-8b-instruct (limit=None) ===
2026-06-15 15:03:14,467 | INFO | GPU_CPU.load_osm | Loading model: llama-3.1-8b-instruct (meta-llama/Llama-3.1-8B-Instruct) ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:  25%|██▌       | 1/4 [00:50<02:30, 50.19s/it]Fetching 4 files:  50%|█████     | 2/4 [00:50<00:42, 21.03s/it]Fetching 4 files: 100%|██████████| 4/4 [00:50<00:00, 12.70s/it]
2026-06-15 15:04:11,781 | WARNING | run_gpu_remaining | flash_attention_2 failed (FlashAttention2 has been toggled on, but it cannot be used due to the following error: the package flash_attn seems to b); retrying with sdpa
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:05,  1.73s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.37s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.24s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.19it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.04s/it]
2026-06-15 15:04:16,859 | INFO | GPU_CPU.load_osm |   Model llama-3.1-8b-instruct               | attention impl: sdpa
2026-06-15 15:04:16,859 | WARNING | GPU_CPU.load_osm |   WARNING: llama-3.1-8b-instruct did not load with flash_attention_2 (got 'sdpa').
2026-06-15 15:04:16,859 | INFO | GPU_CPU.load_osm | Model 'llama-3.1-8b-instruct' loaded successfully.
2026-06-15 15:04:44,514 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:05:03,457 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:05:26,119 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:05:48,601 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:06:10,229 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:06:52,458 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:07:11,006 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:07:31,779 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:07:54,054 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:08:14,864 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:08:53,757 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:09:10,129 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:09:31,621 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:09:51,545 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:10:13,448 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:10:53,099 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:11:11,056 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:11:32,144 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:11:54,479 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:12:18,483 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:12:56,873 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:13:15,005 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:13:37,955 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:13:59,568 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:14:22,807 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:15:02,283 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/596 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:15:19,858 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/596 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:15:40,573 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/596 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:16:02,227 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/596 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:16:25,158 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 504/596 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:16:45,411 | INFO | run_gpu_remaining |   T0.1 rows=3576
2026-06-15 15:17:07,386 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 104/415 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:17:24,488 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 200/415 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:17:42,697 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 304/415 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:18:02,465 | INFO | GPU_CPU.osm_behavioral | OSM llama-3.1-8b-instruct: 400/415 prompts done (sample_index=1, batch_size=8).
