api_model,surrogate_open_model,signal_agreement,n_seeds,api_mirage_b_rate,auc_behavioural_only,auc_causal_only,auc_behavioural_plus_causal,incremental_auc
qwen3-next-80b-a3b,qwen2.5-7b-instruct,0.703579418344519,596,0.15771812080536912,0.8057239128592015,0.5366406713571247,0.8094642705772654,0.0037403577180639136
amazon-nova-2-lite,llama-3.1-8b-instruct,0.7100111856823266,596,0.1476510067114094,0.7938215819613458,0.6336457587687903,0.7959914101646385,0.0021698282032927008
gemini-2.5-flash,qwen2.5-7b-instruct,0.7329418344519015,596,0.16610738255033558,0.7767310936325021,0.5504745645590716,0.7804503790419284,0.0037192854094262318
mistral-medium,llama-3.1-8b-instruct,0.700503355704698,596,0.24328859060402686,0.7248872237938679,0.5382368682620996,0.7248107653490328,-7.645844483517017e-05
