window_start,mean_absC,median_absC,n,n_layers,normalised,depth_frac,model_name,is_peak
0,0.4496204121907552,0.26953125,1200,32,1.0,0.0,llama-3.1-8b-instruct,True
4,0.2749870745340983,0.1826171875,1200,32,0.6115982884189715,0.125,llama-3.1-8b-instruct,False
8,0.20111388524373372,0.1201171875,1200,32,0.44729705278240234,0.25,llama-3.1-8b-instruct,False
12,0.16229272842407227,0.079345703125,1200,32,0.36095498341213705,0.375,llama-3.1-8b-instruct,False
16,0.14428738594055177,0.0625,1200,32,0.32090933157931595,0.5,llama-3.1-8b-instruct,False
20,0.1322897332161665,0.0546875,1200,32,0.29422537240155694,0.625,llama-3.1-8b-instruct,False
24,0.1100645379225413,0.0390625,1200,32,0.24479435305496205,0.75,llama-3.1-8b-instruct,False
28,0.07216546058654785,0.03125,1200,32,0.1605030791082747,0.875,llama-3.1-8b-instruct,False
0,0.875487543741862,0.5625,1200,28,1.0,0.0,qwen2.5-7b-instruct,True
4,0.7077140299479167,0.4375,1200,28,0.8083656186850176,0.14285714285714285,qwen2.5-7b-instruct,False
8,0.5844746907552083,0.34375,1200,28,0.6675990937085691,0.2857142857142857,qwen2.5-7b-instruct,False
12,0.47143107096354164,0.25,1200,28,0.5384783305409807,0.42857142857142855,qwen2.5-7b-instruct,False
16,0.35191019694010417,0.15625,1200,28,0.4019591134741091,0.5714285714285714,qwen2.5-7b-instruct,False
20,0.2954218546549479,0.1171875,1200,28,0.3374369592881989,0.7142857142857143,qwen2.5-7b-instruct,False
24,0.21289970397949218,0.0625,1200,28,0.24317845011198214,0.8571428571428571,qwen2.5-7b-instruct,False
0,0.43029005686442057,0.191162109375,1200,26,1.0,0.0,gemma-2-2b-it,True
4,0.3705570729573568,0.15625,1200,26,0.8611797252710282,0.15384615384615385,gemma-2-2b-it,False
8,0.30385985056559245,0.09375,1200,26,0.7061744646851906,0.3076923076923077,gemma-2-2b-it,False
12,0.26995853424072264,0.0625,1200,26,0.6273873400839087,0.46153846153846156,gemma-2-2b-it,False
16,0.2520250670115153,0.0625,1200,26,0.5857097160182009,0.6153846153846154,gemma-2-2b-it,False
20,0.22445939381917318,0.0625,1200,26,0.5216467130447724,0.7692307692307693,gemma-2-2b-it,False
24,0.01995227813720703,0.0,1200,26,0.04636936833400676,0.9230769230769231,gemma-2-2b-it,False
0,0.5011458333333333,0.375,1200,32,1.0,0.0,phi-4-mini-instruct,True
4,0.39484375,0.25,1200,32,0.7878819372271878,0.125,phi-4-mini-instruct,False
8,0.34380208333333334,0.25,1200,32,0.6860320099771358,0.25,phi-4-mini-instruct,False
12,0.3201822916666667,0.125,1200,32,0.6389004364996883,0.375,phi-4-mini-instruct,False
16,0.30375,0.125,1200,32,0.6061109956350033,0.5,phi-4-mini-instruct,False
20,0.2674479166666667,0.125,1200,32,0.5336728330908336,0.625,phi-4-mini-instruct,False
24,0.22786458333333334,0.125,1200,32,0.4546871752234463,0.75,phi-4-mini-instruct,False
28,0.11421875,0.125,1200,32,0.22791519434628976,0.875,phi-4-mini-instruct,False
