model_name,n_pairs,tau_absC,label_agreement,cohen_kappa_direction,spearman_magnitude,spearman_p,mean_absC_denoising,mean_absC_noising
llama-3.1-8b-instruct,9566,0.45634765625,0.7693915952331173,0.47613809644456717,0.5379745230202206,0.0,0.46385897938088094,0.46385897938088094
qwen2.5-7b-instruct,9566,0.45634765625,0.7068785281204265,0.39965747231398674,0.5635487241537505,0.0,0.9456234660179526,0.9456234660179526
gemma-2-2b-it,9566,0.45634765625,0.8636838804097846,0.634081445296366,0.6437167253461441,0.0,0.507896846641239,0.507896846641239
phi-4-mini-instruct,9566,0.45634765625,0.7231862847585198,0.43023313982091177,0.5431055343145179,0.0,0.5441864415638721,0.5441864415638721
