model_name,n_overlapping_pairs,pearson,spearman,mean_abs_diff,median_abs_diff,p95_abs_diff,mean_absC_stored,mean_absC_rerun,mean_abs_diff_over_mean_absC,cross_stack_comparable
llama-3.1-8b-instruct,4783,0.9458394425979499,0.8819122735475022,0.17719324886761473,0.12890625,0.5,0.4680828530744058,0.4571656335379672,0.3785510357916237,False
qwen2.5-7b-instruct,4783,0.9825524670745118,0.946216957014368,0.2217934632585459,0.1875,0.578125,0.9252709243777604,0.9197318914318942,0.23970650910456393,False
gemma-2-2b-it,4783,0.9961739578318872,0.9571795533014414,0.07067142449087262,0.0625,0.1875,0.5015052924613785,0.5021365207781384,0.14091860156453903,False
phi-4-mini-instruct,4783,0.9802985885933035,0.9295404161440806,0.15915089901735313,0.125,0.375,0.5496811624503449,0.5465907902989755,0.28953311462939196,False
