model_name,n_pairs,spearman_absolute,p_absolute,spearman_signed,p_signed,mean_indirect,mean_direct,mean_total,indirect_share
llama-3.1-8b-instruct,600,0.5015389663584076,1.538699723763598e-39,-0.6308929982506125,6.3989993916120865e-68,0.04908040364583333,-0.028623046875,0.020457356770833334,0.8750580838432166
qwen2.5-7b-instruct,600,0.5944144287752983,1.3565434945683243e-58,-0.6903894744001347,3.939753044278534e-86,-0.048526611328125,0.037008870442708335,-0.011517740885416667,0.8956644752510653
gemma-2-2b-it,600,0.6248827223771168,2.6805522204263715e-66,-0.7376176641020395,4.494986845723554e-104,-0.043080596923828124,0.02570592244466146,-0.017374674479166668,0.908705545711131
phi-4-mini-instruct,600,0.5651743656168162,6.16848442526587e-52,-0.63479803838982,5.405950800604226e-69,-0.16802083333333334,0.179375,0.011354166666666667,1.1357466063348416
