model_name,n_positive_seeds,n_negative_seeds,auc,auc_ci_lo,auc_ci_hi,meets_0.9_target,youden_threshold_absC,youden_j,sensitivity_at_youden,specificity_at_youden,mean_absC_positive,mean_absC_negative
llama-3.1-8b-instruct,100,100,0.7266999999999999,0.6533558218629725,0.7954975420074948,False,0.49921875,0.41000000000000003,0.46,0.95,0.5329364700317383,0.3281213426589965
qwen2.5-7b-instruct,100,100,0.8297000000000002,0.7639707376987699,0.8881015555030372,False,0.37578125,0.6200000000000001,0.92,0.7,0.7097564888000488,0.3874289855957032
gemma-2-2b-it,100,100,0.9974,0.9928934796825959,1.0,True,0.4189453125,0.97,0.97,1.0,1.0269676208496095,0.24285156249999995
phi-4-mini-instruct,100,100,0.93345,0.8983059753778401,0.9628578431372549,True,0.49375,0.75,0.82,0.9299999999999999,0.7595312500000001,0.3033125
