model_name,n_pairs,n_seeds,corr_forward_vs_negreverse,mean_abs_residual,residual_over_scale,frac_exactly_antisymmetric
llama-3.1-8b-instruct,9566,596,0.7043659514856646,0.347154132197797,0.7484044669376638,0.02111645410830023
qwen2.5-7b-instruct,9566,596,0.7923106420261298,0.620170100373801,0.655831969764197,0.03616976792807861
gemma-2-2b-it,9566,596,0.8919383972263942,0.25807287601803525,0.5081206503341988,0.10516412293539619
phi-4-mini-instruct,9566,596,0.30293836399998697,0.41808227054150116,0.7682702813029019,0.15701442609241062
