model_name,n_seeds,correct_a,correct_b,stable_c,correct_d,cot_robust,behavioural_all5,causal_ok,mirage_full,n_failing,fail_behavioural_only,fail_causal_only,fail_both
llama-3.1-8b-instruct,596,0.6057046979865772,0.5721476510067114,0.5956375838926175,0.4312080536912752,0.62248322147651,0.25,0.2231543624161074,0.06879194630872483,555,0.16576576576576577,0.1945945945945946,0.6396396396396397
qwen2.5-7b-instruct,596,0.436241610738255,0.38926174496644295,0.3825503355704698,0.3104026845637584,0.4949664429530201,0.1761744966442953,0.025167785234899327,0.0016778523489932886,595,0.023529411764705882,0.17478991596638654,0.8016806722689076
gemma-2-2b-it,596,0.4228187919463087,0.401006711409396,0.39093959731543626,0.2533557046979866,0.4077181208053691,0.10570469798657718,0.37919463087248323,0.031879194630872486,577,0.3587521663778163,0.07625649913344887,0.5649913344887348
phi-4-mini-instruct,596,0.10067114093959731,0.06208053691275168,0.03523489932885906,0.016778523489932886,0.02181208053691275,0.0,0.0738255033557047,0.0,596,0.0738255033557047,0.0,0.9261744966442953
