model_name,n_seeds,n_pairs,spearman_pairlevel,p_pairlevel,spearman_seedlevel,p_seedlevel,ci_lo,ci_hi
llama-3.1-8b-instruct,91,600,0.5015389663584076,1.5386997237635906e-39,0.9213620491915562,2.735215512752712e-38,0.8732054729672244,0.9510534719300383
qwen2.5-7b-instruct,91,600,0.5944144287752983,1.3565434945683666e-58,0.858368039269445,1.5620720107066243e-27,0.7763704560855175,0.9099998008545739
gemma-2-2b-it,91,600,0.6248827223771168,2.68055222042629e-66,0.9006693718264134,5.6480707935543955e-34,0.8200834807216941,0.9479040585969634
phi-4-mini-instruct,91,600,0.5651743656168162,6.168484425265646e-52,0.9129371578683134,2.1031892278301656e-36,0.8496674560585373,0.9494384237257006
